DATA;INSAP.;C12;C14;C14:1;C15;C16;C16:1;C17;C18;C18:1;C18:2;C18:3;C20;C20:1;C22;TOT;C18-1-2-3;TOT INSAT.;Y;R;N IODIO;ACIDITA';GreenOleo
18/06/2018;0.5;0.9;2;0.2;0.3;5;4;0.1;2;68;15;1;0.1;0.8;0.1;100;84;89;4.6;0.8;100;201;1
25/06/2018;0.6;1;1;0.2;0.2;5;5;0.2;2;70;14;1;0.2;0.9;0.2;101.5;85;91.1;6.3;0.6;100;201;1
09/07/2018;1.3;0.4;2;0.1;0.1;6;4;0.2;2;65;15;2;0.2;0.1;0;98.4;82;86.2;8.1;1;99;202;1
16/07/2018;1.1;0.5;1;0.1;0.3;5;5;0.2;2;68;15;2;0;0.1;0.1;100.4;85;90.2;7.9;1;100;201;1
28/08/2018;0.6;0.1;1;0;0.2;5;5;0.7;1;70;14;1;0.5;0.2;0.1;99.4;85;90.2;9.7;1.1;99;200;1
13/09/2018;0.6;0.2;2;0.2;0.2;5;5;0.7;2;68;13;2;0.3;0.1;0.1;99.4;83;88.3;6.8;0.7;100;200;1
27/09/2018;0.6;0.2;2;0.1;0.1;5;5;0.6;2;70;14;2;0;0.1;1;102.7;86;91.2;9.9;0.9;99;199;1
05/10/2018;0.6;0.1;1;0.3;0.1;6;5;0.7;2;69;15;1;0.2;0.4;0.1;101.5;85;90.7;8.6;0.7;100;200;1
19/10/2018;0;0.1;1;0.2;0.1;5;4;0.7;2;70;13;1;0.1;0.8;0.1;98.1;84;89;11;1.2;99;201;1
26/10/2018;0.6;0.6;1;0.1;0.1;5;4;0.6;2;69;15;1;0.2;1;0;100.2;85;90.1;6.2;0.6;99;200;1
15/11/2018;0.7;0.5;1;0.1;0.1;5;5;0.7;2;69;15;1;0.2;1;0.2;101.5;85;91.1;7.5;0.8;100;201;1
28/11/2018;0.7;0.7;1;0.1;0.2;5;3;0.7;2;71;15;1;0.2;0.8;0.2;101.6;87;90.9;7.5;0.8;99;201;1
05/12/2018;0.34;0;0.9;0.1;0.1;5.6;4.2;0.6;1.8;68.8;13.8;0.8;0.4;0.3;0;97.74;83.4;88;15;1.4;98.7;199.2;0
11/12/2018;0.6;0.8;1;0;0.4;5;4;0.7;2;69;14;1;0.1;0.7;0.2;99.5;84;88.7;8.3;0.8;100;200;1
10/01/2019;0.6;0.1;1;0;0.1;5;4;0.6;1;69;15;1;0.1;1.3;0.1;98.9;85;90.3;7.4;0.6;100;200;1
18/01/2019;0.6;1;1;0.2;0.2;5;4;0.8;2;69;15;1;0.3;1.1;0;101.2;85;90.3;7;0.7;99;201;1
05/02/2019;0.6;0;1;0;0;5;4;0.7;2;71;14;1;0.1;0.8;0;100.2;86;90.8;5.8;0.6;100;199;1
22/02/2019;0.7;0.6;1;0;0.1;5;4;0.7;1;73;13;0;0.3;0.4;0;99.8;86;90.4;5;0.5;99;203;1
04/03/2019;0.8;0.9;1;0;0.1;5;4;0;1;71;14;2;0.2;0.1;0;100.1;87;91.1;5.2;0.5;100;199;1
21/03/2019;0.34;0;0.6;0;0;5.9;3.8;0.6;1.8;70;14.8;0.7;0;1.5;0;100.04;85.5;90.8;11;1;99.7;199.3;0
09/04/2019;0.5;0;0.8;0;0.1;5.6;4.1;0.6;1.8;68.8;13.7;0.9;0.1;1.4;0.2;98.6;83.4;88.9;11;1.3;98.2;199.5;0
24/04/2019;0.34;0;0.7;0.1;0;5.5;3.4;0.5;1.6;69.7;14.7;0.7;0;1.5;0.1;98.84;85.1;90.1;8.6;1.1;99.5;199.7;0
09/05/2019;0;0.2;1;0.1;0.1;5;4;0;1;71;14;2;0.1;0.7;0;99.2;87;91.8;7;0.6;99;200;1
21/05/2019;0.8;0.6;1;0.1;0.1;5;4;0.1;1;72;14;2;0.1;0.8;0;101.6;88;92.9;6.2;0.5;100;200;1
05/06/2019;0.8;0.1;1;0.2;0.1;5;4;0.1;2;71;14;1;0.1;0.2;0;99.6;86;90.4;6.6;0.8;100;200;1
20/06/2019;0.6;0.1;1;0.1;0.2;5;4;0.1;2;70;15;2;0.1;0.6;0;100.8;87;91.7;8.1;0.6;100;199;1
04/07/2019;0.7;0;1.2;0.3;0.2;5.2;5;0.7;1.3;67.1;14.5;0.9;0.1;1.2;0.3;98.7;82.5;89;8.8;1;99.8;199.8;0
16/07/2019;0.34;0;1.4;0;0.1;5.9;4.7;0.7;2;67.4;14.3;1.1;0.5;0.4;0.2;99.04;82.8;87.9;15;1.4;100;201.8;0
30/08/2019;0.34;0;0.4;0;0.1;5.4;4.9;0.7;1.8;69.4;14.1;1.1;0.2;1.1;0.1;99.64;84.6;90.6;7.4;0.7;99.2;200.4;0
13/09/2019;0.61;0;1.1;0;0;5.6;4.2;0.5;1.6;69.7;14.7;0.5;0.3;0.9;0;99.71;84.9;90;14;1.4;99.4;199.7;0
17/09/2019;0.34;0;0.6;0;0;5.3;3;0.4;1.4;71.5;15;0.5;0.3;1.2;0;99.54;87;91.2;15;1.5;99.4;200.3;0
03/10/2019;0.34;0;0.9;0.1;0.1;5.4;4.3;0.6;1.7;67.2;14.6;0.8;0.3;1.2;0.3;97.84;82.6;88.2;14;1.5;99.3;199.1;0
21/10/2019;0.7;0;0.2;0;0.1;5.3;4.6;0.6;1.7;67.7;15;0.8;0.2;1.3;0.1;98.3;83.5;89.4;8.7;0.7;99;200.1;0
07/11/2019;0.34;1.2;0;0.2;0.2;5.5;5.2;0.7;1.7;67.9;13.2;0.7;0.3;0.1;0;97.24;81.8;87.3;1.9;0.5;95.1;199.5;0
22/11/2019;0.7;0;0.5;0.1;0.1;5.3;4.7;0.7;1.7;68.3;14.6;0.8;0.2;1.2;0;98.9;83.7;89.7;14;1.5;98;200;0
03/12/2019;0.34;0;0.6;0.1;0.1;5.7;5;0.4;1.9;68;14;0.7;0.2;1.1;0.1;98.24;82.7;88.9;12;1.3;99;200;0
18/12/2019;0.34;0;0.3;0;0.1;5.4;4;0.6;1.9;68.7;13.8;0.7;0.2;1.2;0;97.24;83.2;88.4;10;1;98.9;199.1;0
03/01/2020;0.7;0;0.3;0;0.1;5.5;4.1;0.6;1.8;69.6;14.5;0.9;0.2;1.1;0;99.4;85;90.2;13;1.5;99;199.1;0
14/01/2020;0.34;0;0.6;0.1;0.1;5.7;4.2;0.2;1.8;67.9;13;0.6;0.2;1.2;0;95.94;81.5;87;9.8;1;98.3;199.4;0
